Country,Year,GDP (in Trillions USD),GDP per Capita (in USD),Inflation Rate (%),Population (in Millions),Population Growth Rate (%),Urban Population (%),Life Expectancy (Years),Healthcare Expenditure per Capita (USD),Doctor-to-Patient Ratio,Literacy Rate (%),Education Expenditure as % of GDP,Internet Penetration (%),Smartphone Adoption (%),Energy Consumption (TWh),Renewable Energy Share (%),Military Expenditure (in Billion USD),Number of Active Military Personnel,CO2 Emissions (Million Metric Tons),Forest Coverage (%),Number of Airports,Road Network Length (in km),Public Transport Usage (%),Human Development Index (HDI),Gender Equality Index,Poverty Rate (%),Number of International Visitors (in Millions),Tourism Revenue (in Billion USD),Agricultural Land (%),Unemployment Rate (%),Labor Force Participation Rate (%),"Crime Rate (per 100,000)",Corruption Perception Index,Freedom of Press Index,Voting Participation Rate (%)
USA,2000,20.87,65455,2.28,330.34,0.58,83.42,78.39,11209,2.6,100.78,5.12,84.73,88.23,4095,17.31,724.68,1464400,5156.1,31.88,13869,6626400,11.74,0.97,0.94,10.98,80.8,210.98,42.37,3.55,65.52,287.4,67.41,45.27,68.81
Russia,2000,1.64,10923,3.25,141.81,0.1,72.67,69.91,534.45,4.05,103.55,4.37,84.84,72.88,1058.4,18.6,62.13,986000,1660.8,49.15,1251.6,1429500,24,0.85,0.72,12.89,24.7,36.47,12.53,4.63,57.54,497.5,30.9,146.1,65
Canada,2000,1.65,47932,1.96,36.63,0.9,79.54,84.6,5113.5,2.84,98.31,5.69,89.75,85.99,559.9,68.81,22.58,67972.5,516.78,36.18,501.5,985000,17.51,0.96,0.94,9.46,22.33,29.52,7.22,5.43,65.06,795.2,74.74,16.42,63
China,2000,13.64,10060,2.43,1446.93,0.31,58.56,76.09,459,1.86,98.65,4.02,66.56,71.12,6698,28.94,255.52,2045900,9690,22,230.16,4995000,35.5,0.72,0.85,2.04,62.2,115.8,54,3.68,63.13,102.9,41.75,185.32,72.14
India,2000,2.98,2102.1,4.87,1313.76,1.04,34.09,68.78,76.07,0.86,73.11,3.19,46.4,41.98,1500,11.5,70.01,1475768,2443.2,24.48,258.5,5929500,23.09,0.67,0.66,22.25,11.25,29.12,57.6,7.31,52.1,245.25,40.12,136.36,67.65
Australia,2000,1.38,51039,1.54,26.15,1.26,82.65,80.9,5366.4,3.3,103.55,4.71,91.18,86.95,298.5,21.99,27.5,56376,421.48,16,574.2,867390,16.59,0.92,1,9.5,9.6,61.38,52.47,4.78,63.49,855,76.15,24.68,89.15
USA,2001,22.01,66365,2.25,342.58,0.62,83.58,77.52,10835,2.7,103.26,5.12,85.89,84.66,4258.8,17.66,757.62,1386000,5349.9,32.87,12783.6,6474600,11.88,0.92,0.98,10.5,78,209.66,42.99,3.64,63.06,306.9,69.28,45.05,63.65
Russia,2001,1.66,10890,3,152.1,0.1,71.56,69.99,529.73,3.94,97.61,4.21,86.6,74.63,1056.3,19.36,62.5,1030000,1614.4,49.24,1158,1575000,24.23,0.79,0.73,11.97,23.75,34.97,13.17,4.58,62.58,520,28.83,151.65,62.73
Canada,2001,1.72,45034,1.95,38.66,0.93,80.03,79.58,5103,3.04,94.74,5.83,93.09,82.09,540.1,66.13,22.29,69592.5,535.68,38.04,493,978000,18.45,0.9,0.94,9.47,21.25,29.16,7.1,5.57,65.39,817.6,76.22,16.13,62.04
China,2001,14,10390,2.33,1437.14,0.3,62.28,79.46,439.2,1.84,95.93,3.98,63.31,71.54,6480.4,29.99,266.22,2150450,9520,22.33,234.96,5235000,33.49,0.75,0.84,1.93,65.91,120.84,55.3,3.7,61.11,104.2,42.5,185.14,74.66
India,2001,3,2135.7,4.67,1328.94,0.97,36.16,71.27,74.83,0.91,71.11,3.07,43.97,39.65,1464,11.47,73.27,1399236,2404.8,23.98,241.5,5982600,22.03,0.63,0.68,21.55,11.11,28.48,62.34,7.26,49.8,256.25,39.4,138.6,63.1
Australia,2001,1.34,53901,1.55,23.9,1.29,88.84,85.57,5402.8,3.56,99.89,4.8,93.18,89.7,288.9,21.9,27.2,59276,395.24,15.52,580.8,840420,17.83,0.98,0.92,9.61,8.97,58.38,53.85,5,64.09,928.8,77.54,25.1,94.94
USA,2002,21.17,67470,2.28,343.58,0.57,80.59,81.63,11055,2.5,97.12,5.13,91.49,81,4321.8,17.36,732.73,1436400,5089.8,33.23,13105.2,6626400,12.12,0.9,0.99,10.36,82.48,227.7,44.62,3.83,63.44,288.6,71.35,43.42,69.34
Russia,2002,1.58,11132,2.99,141.38,0.1,70.67,76.16,505.57,3.95,103.36,4.24,81.31,73.49,999.6,19.44,63.67,1008000,1628.8,48.85,1242,1569000,23.77,0.84,0.72,12.69,24.38,33.77,13.04,4.65,62.1,512.5,30.69,142.95,64.74
Canada,2002,1.79,47932,1.94,35.56,0.95,77.84,85.18,5082,2.75,96.82,5.72,95.79,84.16,552.2,66.93,22.31,68310,540,39.25,486,1037000,18.79,0.9,0.99,9.79,22.84,29.49,6.8,5.45,64.03,832.8,70.6,15.33,62.94
China,2002,13.97,9870,2.47,1430.15,0.31,59.58,75.09,466.65,1.82,93.02,3.81,66.75,72.52,6902,29.55,266.74,2136100,9830,21.93,237.36,5110000,35.19,0.75,0.8,2.06,61.88,123.72,56.7,3.45,61.36,98.5,41.2,185.14,75.17
India,2002,2.86,2009.7,4.62,1323.42,1.03,33.7,68.29,70.52,0.92,70.6,2.97,44.15,39.89,1486.5,12.56,72.78,1438224,2414.4,22.85,254,6147800,23.32,0.65,0.66,21.48,10.76,29.23,62.58,7.69,49.15,250,40.68,143.22,68.57
Australia,2002,1.36,51145,1.5,25.12,1.3,84.11,82.4,5402.8,3.37,97.61,4.87,91.91,83.94,303,23.32,28.16,57710,428.86,16.43,627.6,837810,17.54,0.95,0.94,9.39,9.63,60.96,51.99,5.13,63.29,942.3,76.92,25.15,90.99
USA,2003,20.55,62010,2.24,345.89,0.62,83.58,78.39,10538,2.67,102.76,4.91,88.11,89,4204.2,17.61,744.44,1468600,5283.6,34.55,13775.2,6758400,12.13,0.91,1,10.72,80.32,227.7,43.65,3.53,61.3,304.2,72.17,43.6,69.14
Russia,2003,1.6,11297,3.03,146.31,0.1,71.56,74.78,534.98,4.13,97.61,4.24,82.15,72.35,1004.85,19.21,60.34,977000,1526.4,51.16,1174.8,1548000,25.85,0.85,0.74,12.36,24.45,36.26,13.09,4.54,60.36,496,29.28,148.8,61.95
Canada,2003,1.8,48208,1.81,37.55,0.91,78.41,85.51,5124,2.99,99.3,6.02,91.88,84,543.4,66.93,21.93,69525,520.02,39.79,512.5,1028000,18.36,0.92,0.99,9.1,21.21,31.11,7.05,5.57,66.23,811.2,73.41,15.76,61.68
China,2003,13.71,9900,2.47,1364.45,0.29,61.8,73.4,452.25,1.71,93.51,4.11,67.99,71.68,7065.2,28.57,263.09,1972100,9920,22.37,236.88,5160000,34,0.74,0.79,2.04,67.53,117.84,54.22,3.44,64.89,96.3,41.79,175.94,68.54
India,2003,2.93,2129.4,5.04,1444.86,0.95,34.37,66.42,74.68,0.87,77.18,3.06,45.05,40.26,1491,11.98,73.77,1428116,2299.2,24.43,246.5,6165500,22.17,0.67,0.66,22.23,11.1,26.85,59.82,7.38,49.3,248.25,41.36,136.22,69.04
Australia,2003,1.37,53954,1.47,25.32,1.32,87.89,80.4,5257.2,3.53,103.95,4.73,94.73,88.06,310.2,21.87,26.34,55622,416.56,16,616.8,860430,17.46,0.98,0.93,9.54,9.08,61.44,51.3,5.13,67.19,895.5,74.84,23.85,92.55
USA,2004,21.43,67665,2.21,333.98,0.59,83.08,81.79,10483,2.56,101.97,4.88,87.84,86.78,4242,17.51,726.14,1390200,5283.6,34.09,13560.8,6659400,11.77,0.94,0.96,9.99,82.48,217.14,45.72,3.8,61.8,297.6,69.14,42.8,66.73
Russia,2004,1.7,10780,3.07,138.62,0.1,76.07,76.23,519.23,3.87,95.93,4.28,81.31,74.1,1046.85,18.62,59.42,994000,1633.6,49.34,1167.6,1453500,25.7,0.83,0.72,11.93,25.1,36.75,12.8,4.39,59.46,481,29.01,154.35,65.33
